hero1,hero1_name,hero2_count
https://w3id.org/um/ken4256/hero/captain_america,CAPTAIN AMERICA,1424
https://w3id.org/um/ken4256/hero/spider_man_peter_par,SPIDER-MAN/PETER PAR,1286
https://w3id.org/um/ken4256/hero/iron_man_tony_stark,IRON MAN/TONY STARK ,1131
https://w3id.org/um/ken4256/hero/wolverine_logan,WOLVERINE/LOGAN ,1035
https://w3id.org/um/ken4256/hero/thing_benjamin_j_gr,THING/BENJAMIN J. GR,1003
https://w3id.org/um/ken4256/hero/scarlet_witch_wanda,SCARLET WITCH/WANDA ,1002
https://w3id.org/um/ken4256/hero/human_torch_johnny_s,HUMAN TORCH/JOHNNY S,962
https://w3id.org/um/ken4256/hero/mr_fantastic_reed_r,MR. FANTASTIC/REED R,957
https://w3id.org/um/ken4256/hero/thor_dr_donald_blak,THOR/DR. DONALD BLAK,947
https://w3id.org/um/ken4256/hero/invisible_woman_sue,INVISIBLE WOMAN/SUE ,919
